or,de,Time
875+Queen+St+E+Toronto,BLOOR-YONGE+STATION,3590
7+Vanauley+Street+Toronto,BLOOR-YONGE+STATION,2577
21+Walmer+Rd.+Toronto,BLOOR-YONGE+STATION,1391
80+Woodlawn+Ave.+East+Toronto,BLOOR-YONGE+STATION,1270
6+Warrendale+Court+Etobicoke,BLOOR-YONGE+STATION,15227
348+Davenport+Rd.+Toronto,BLOOR-YONGE+STATION,1118
167+College+Street+Toronto,BLOOR-YONGE+STATION,1390
702+Kennedy+Road+Scarborough,BLOOR-YONGE+STATION,9766
265+Queens+Drive+Toronto,BLOOR-YONGE+STATION,9565
248+Dufferin+Street+Toronto,BLOOR-YONGE+STATION,4830
177+Caledonia+Rd+Toronto,BLOOR-YONGE+STATION,5115
747+Warden+Ave+Toronto,BLOOR-YONGE+STATION,8234
100+Lippincott+Street+Toronto,BROADVIEW+STATION,4165
973+Lansdowne+Avenue+Toronto,BROADVIEW+STATION,6077
43+Christie+Street+Toronto,BROADVIEW+STATION,4221
1229+Ellesmere+Road+Toronto,BROADVIEW+STATION,11503
1651+Sheppard+Ave+West+Toronto,BROADVIEW+STATION,12788
4222+Kingston+Road+Toronto,BROADVIEW+STATION,12601
38+Bathrust+St+Toronto,BROADVIEW+STATION,5477
291+Sherbourne+Street+Toronto,BROADVIEW+STATION,2323
3306+Kingston+Road+Toronto,BROADVIEW+STATION,9754
339+George+Street+Toronto,BROADVIEW+STATION,2467
129+Peter+St+Toronto,BROADVIEW+STATION,4388
674+Dundas+St.+W+Toronto,BROADVIEW+STATION,4510
616+Vaughan+Road+Toronto+Toronto,BROADVIEW+STATION,6120
20+Gerrard+Street+East+Toronto,BROADVIEW+STATION,2776
2714+Danforth+Avenue+Toronto,BROADVIEW+STATION,3711
349+George+Street+Toronto,BROADVIEW+STATION,2414
60+Brant+Street+Toronto,BROADVIEW+STATION,4797
360+Lesmill+Road+North+York,BROADVIEW+STATION,8676
25+Canterbury+Place+North+York,BROADVIEW+STATION,10484
"490+Sherbourne+Street,+2nd+floor+Toronto",BROADVIEW+STATION,1676
512+Jarvis+St.+Toronto,BROADVIEW+STATION,1835
86+Lombard+St.+Toronto,BROADVIEW+STATION,3252
1161+Caledonia+Road+Toronto,BROADVIEW+STATION,9320
412+Queen+Street+East+Toronto,BROADVIEW+STATION,2498
702+Kennedy+Rd+Toronto,BROADVIEW+STATION,8140
1322+Bloor+Street+West+Toronto,BROADVIEW+STATION,5664
3576+St.+Clair+Avenue+East+Scarborough,BROADVIEW+STATION,7357
805A+Wellington+Street+W+Toronto,BROADVIEW+STATION,5885
422+Gilbert+Avenue+Toronto,BROADVIEW+STATION,8027
1076+Pape+Avenue+Toronto,BROADVIEW+STATION,1524
14+Vaughan+Road+Toronto,BROADVIEW+STATION,4486
558+Bathurst+Street+Toronto,BROADVIEW+STATION,4152
126+Pape+Avenue+Toronto,BROADVIEW+STATION,2314
60+Newcastle+Street+Toronto,BROADVIEW+STATION,11539
70+Gerrard+St.+E.+Toronto,BROADVIEW+STATION,2569
3410+Bayview+Avenue+Toronto,BROADVIEW+STATION,11711
525+Bloor+Street+East+Toronto,BROADVIEW+STATION,1311
87+Pembroke+St+Toronto,BROADVIEW+STATION,2485
101+Ontario+Street+Toronto,BROADVIEW+STATION,2799
2808+Dundas+St+W+Toronto,BROADVIEW+STATION,7064
723+Queen+Street+West+Toronto,BROADVIEW+STATION,5142
107+Jarvis+Street+Toronto,BROADVIEW+STATION,3178
Sherbourne+Street+Toronto,BROADVIEW+STATION,2268
29+Leslie+Street+Toronto,BROADVIEW+STATION,3004
2671+Islington+Avenue+Toronto,BROADVIEW+STATION,16185
502+Spadina+Ave.+Toronto,BROADVIEW+STATION,3764
191+Spadina+Road+Toronto,BROADVIEW+STATION,3594
95+Wellesley+St.+E.+Toronto,BROADVIEW+STATION,2034
23+Grange+Road+Toronto,BROADVIEW+STATION,3946
875+Queen+St+E+Toronto,BROADVIEW+STATION,2209
7+Vanauley+Street+Toronto,BROADVIEW+STATION,4643
21+Walmer+Rd.+Toronto,BROADVIEW+STATION,3388
80+Woodlawn+Ave.+East+Toronto,BROADVIEW+STATION,3133
6+Warrendale+Court+Etobicoke,BROADVIEW+STATION,17231
348+Davenport+Rd.+Toronto,BROADVIEW+STATION,3122
167+College+Street+Toronto,BROADVIEW+STATION,3306
702+Kennedy+Road+Scarborough,BROADVIEW+STATION,8140
265+Queens+Drive+Toronto,BROADVIEW+STATION,11569
248+Dufferin+Street+Toronto,BROADVIEW+STATION,6881
177+Caledonia+Rd+Toronto,BROADVIEW+STATION,7119
747+Warden+Ave+Toronto,BROADVIEW+STATION,6607
100+Lippincott+Street+Toronto,CASTLE+FRANK+STATION,3318
973+Lansdowne+Avenue+Toronto,CASTLE+FRANK+STATION,5231
43+Christie+Street+Toronto,CASTLE+FRANK+STATION,3374
1229+Ellesmere+Road+Toronto,CASTLE+FRANK+STATION,12085
1651+Sheppard+Ave+West+Toronto,CASTLE+FRANK+STATION,11910
4222+Kingston+Road+Toronto,CASTLE+FRANK+STATION,13253
38+Bathrust+St+Toronto,CASTLE+FRANK+STATION,4643
291+Sherbourne+Street+Toronto,CASTLE+FRANK+STATION,1477
3306+Kingston+Road+Toronto,CASTLE+FRANK+STATION,10405
339+George+Street+Toronto,CASTLE+FRANK+STATION,1598
129+Peter+St+Toronto,CASTLE+FRANK+STATION,3519
